item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,3.414714,37595,[0.5716724991798401],[-1.3838176727294922],28722,[1.7326024770736694],[-2.4790122509002686],-17.159914,-15.998983,incorrect,False,-17.159914,-15.998983,incorrect,False,-17.159914,-15.998983,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,3.3556237,38847,[0.14704085886478424],[0.754101037979126],31549,[1.1563373804092407],[3.012355327606201],-16.951927,-15.942632,incorrect,False,-16.951927,-15.942632,incorrect,False,-16.951927,-15.942632,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,5.5147433,36075,[0.3375154137611389],[-2.1939501762390137],20899,[2.022416830062866],[4.8045148849487305],-15.312345,-13.627443,incorrect,False,-15.312345,-13.627443,incorrect,False,-15.312345,-13.627443,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,4.705985,42184,[-0.2980891764163971],[1.8776930570602417],14250,[3.0376853942871094],[1.1382360458374023],-16.462688,-13.126914,incorrect,False,-16.462688,-13.126914,incorrect,False,-16.462688,-13.126914,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,6.4709864,39009,[0.23590686917304993],[-2.0405354499816895],12165,[3.1431479454040527],[-1.2795729637145996],-15.126923,-12.219681,incorrect,False,-15.126923,-12.219681,incorrect,False,-15.126923,-12.219681,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,8.2380085,43116,[-0.45225846767425537],[-3.299555778503418],13465,[2.819788694381714],[1.2819188833236694],-15.025832,-11.753785,incorrect,False,-15.025832,-11.753785,incorrect,False,-15.025832,-11.753785,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,8.834091,47404,[-1.4299719333648682],[2.536018133163452],9216,[3.115302324295044],[-0.4579409062862396],-15.54519,-10.999916,incorrect,False,-15.54519,-10.999916,incorrect,False,-15.54519,-10.999916,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,8.827447,43526,[-0.523815929889679],[-1.704543113708496],12492,[2.7147698402404785],[1.34242582321167],-14.609582,-11.370996,incorrect,False,-14.609582,-11.370996,incorrect,False,-14.609582,-11.370996,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,8.983455,44633,[-1.057063102722168],[0.5117919445037842],6692,[3.018824815750122],[-0.9991610646247864],-14.589061,-10.513173,incorrect,False,-14.589061,-10.513173,incorrect,False,-14.589061,-10.513173,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,8.933641,44134,[-0.8766136169433594],[4.389477729797363],10453,[2.5796926021575928],[3.4492032527923584],-14.499643,-11.043337,incorrect,False,-14.499643,-11.043337,incorrect,False,-14.499643,-11.043337,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,10,8.83189,31933,[0.5232718586921692],[2.5177066326141357],4247,[3.5850894451141357],[3.679628610610962],-13.179167,-10.117348,incorrect,False,-13.179167,-10.117348,incorrect,False,-13.179167,-10.117348,incorrect,False,gender
