task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,0.0,568,"[44.40625, 19.671875, 19.359375]","[-11.8359375, 17.359375, -5.84765625]",17979,[-10.65625],[4.0859375],-124.6,-159.4,correct,True,-374.0,-159.4,incorrect,False,-104.6,-159.4,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,0.0,635,"[41.125, 21.4375, 14.9296875]","[5.5703125, -1.6279296875, 4.72265625]",18182,[-9.6015625],[0.6083984375],-113.94,-147.0,correct,True,-342.0,-147.0,incorrect,False,-96.25,-147.0,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,0.0,634,"[38.25, 20.8125, 15.203125]","[27.9375, 11.7890625, 9.828125]",17521,[-8.453125],[-9.78125],-103.5,-131.1,correct,True,-310.5,-131.1,incorrect,False,-84.4,-131.1,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,0.0003855,592,"[39.71875, 21.734375, 17.65625]","[4.73046875, 0.96142578125, 4.92578125]",17555,[-9.4921875],[-1.330078125],-90.8,-127.4,correct,True,-272.5,-127.4,incorrect,False,-78.2,-127.4,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,0.002214,645,"[37.6875, 21.359375, 17.859375]","[14.078125, -0.3271484375, 5.4140625]",17678,[-9.046875],[-11.296875],-83.5,-122.3,correct,True,-250.5,-122.3,incorrect,False,-75.5,-122.3,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,0.0867,647,"[36.8125, 20.75, 18.859375]","[18.25, 3.212890625, 5.8125]",17990,[-9.8828125],[-14.515625],-79.44,-119.25,correct,True,-238.2,-119.25,incorrect,False,-72.5,-119.25,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,0.675,666,"[36.34375, 20.53125, 19.421875]","[32.78125, 23.953125, 24.109375]",18120,[-11.0859375],[-4.5],-74.5,-119.1,correct,True,-223.5,-119.1,incorrect,False,-71.56,-119.1,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,0.2474,655,"[37.46875, 23.75, 25.109375]","[12.515625, 4.9296875, 8.390625]",18312,[-10.671875],[-12.15625],-66.7,-119.6,correct,True,-200.0,-119.6,incorrect,False,-71.44,-119.6,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,0.0801,666,"[37.21875, 23.484375, 26.359375]","[-6.96484375, 3.232421875, 7.2734375]",18672,[-11.375],[0.0241851806640625],-64.44,-120.3,correct,True,-193.2,-120.3,incorrect,False,-71.6,-120.3,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,0.0653,706,"[36.0, 23.203125, 26.921875]","[6.625, 10.375, 11.59375]",18712,[-11.15625],[6.80078125],-63.38,-119.06,correct,True,-190.1,-119.06,incorrect,False,-71.9,-119.06,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,0.1256,714,"[35.3125, 23.46875, 28.078125]","[8.421875, 6.58984375, 4.23828125]",18085,[-10.0625],[-6.2890625],-60.25,-116.7,correct,True,-180.8,-116.7,incorrect,False,-71.3,-116.7,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,0.0756,692,"[35.03125, 23.125, 27.28125]","[8.4296875, 1.818359375, 19.890625]",18806,[-10.7578125],[-0.051300048828125],-57.4,-114.56,correct,True,-172.2,-114.56,incorrect,False,-68.7,-114.56,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,12,0.00844,709,"[34.5, 21.34375, 30.0]","[4.890625, 8.96875, 31.234375]",18674,[-10.21875],[0.64501953125],-57.84,-114.6,correct,True,-173.5,-114.6,incorrect,False,-69.8,-114.6,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,13,0.01294,848,"[30.53125, 21.65625, 34.0625]","[5.015625, 10.2109375, 13.8828125]",18057,[-8.3359375],[-9.015625],-56.25,-104.44,correct,True,-168.8,-104.44,incorrect,False,-65.44,-104.44,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,14,0.00137,809,"[30.53125, 21.609375, 35.28125]","[9.125, 12.625, 25.875]",18968,[-9.6640625],[-7.9375],-56.03,-106.8,correct,True,-168.1,-106.8,incorrect,False,-66.56,-106.8,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,15,0.000876,888,"[30.25, 21.734375, 37.65625]","[1.9892578125, 12.84375, 22.546875]",19511,[-10.5859375],[-9.59375],-58.5,-111.4,correct,True,-175.5,-111.4,incorrect,False,-70.44,-111.4,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,16,0.002705,1017,"[27.625, 22.03125, 39.46875]","[13.3828125, 15.9921875, 27.03125]",20449,[-11.84375],[0.931640625],-58.8,-110.6,correct,True,-176.5,-110.6,incorrect,False,-70.94,-110.6,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,17,0.002052,925,"[29.125, 22.921875, 41.28125]","[7.796875, 4.16796875, 6.96875]",19530,[-11.453125],[-6.828125],-62.88,-113.3,correct,True,-188.6,-113.3,incorrect,False,-72.7,-113.3,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,18,0.00578,1012,"[28.03125, 22.265625, 39.0625]","[11.0234375, 8.3359375, 6.20703125]",19499,[-11.7578125],[0.81005859375],-65.7,-113.25,correct,True,-197.0,-113.25,incorrect,False,-73.44,-113.25,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,19,0.01016,976,"[28.453125, 22.34375, 37.6875]","[24.015625, 18.484375, 10.546875]",18922,[-10.7421875],[-5.68359375],-65.0,-111.94,correct,True,-195.0,-111.94,incorrect,False,-72.75,-111.94,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,20,0.002108,790,"[31.625, 23.46875, 36.90625]","[3.876953125, 4.73046875, 13.21875]",19687,[-11.296875],[-9.5703125],-62.25,-115.06,correct,True,-186.8,-115.06,incorrect,False,-72.1,-115.06,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,21,0.003746,809,"[29.28125, 22.625, 36.59375]","[4.48046875, 17.28125, 16.984375]",20709,[-12.5859375],[-1.3095703125],-63.8,-112.56,correct,True,-191.5,-112.56,incorrect,False,-70.7,-112.56,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,22,0.03085,938,"[27.390625, 23.578125, 37.25]","[10.796875, 0.81884765625, 12.0]",20646,[-11.6328125],[0.280029296875],-62.22,-106.8,correct,True,-186.6,-106.8,incorrect,False,-67.75,-106.8,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,23,0.0757,912,"[27.203125, 22.9375, 37.09375]","[1.72265625, 6.2265625, -6.07421875]",19218,[-10.4921875],[-3.0546875],-63.16,-104.6,correct,True,-189.5,-104.6,incorrect,False,-66.8,-104.6,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,24,0.549,932,"[25.140625, 22.78125, 35.75]","[14.359375, 5.25, 23.71875]",20273,[-10.2734375],[-15.7421875],-61.0,-92.94,correct,True,-183.0,-92.94,incorrect,False,-57.6,-92.94,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,25,0.4277,913,"[25.90625, 22.53125, 36.25]","[14.4609375, 0.25146484375, 8.640625]",21145,[-11.9375],[-1.5478515625],-62.84,-98.0,correct,True,-188.5,-98.0,incorrect,False,-60.2,-98.0,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,26,0.309,852,"[26.671875, 21.65625, 35.96875]","[5.78125, 11.765625, 14.109375]",20707,[-11.3359375],[-7.94921875],-63.53,-97.94,correct,True,-190.5,-97.94,incorrect,False,-60.03,-97.94,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,27,0.1437,876,"[25.328125, 21.875, 36.59375]","[6.8828125, 18.78125, 18.328125]",21252,[-12.1171875],[-8.953125],-63.28,-96.3,correct,True,-189.9,-96.3,incorrect,False,-59.0,-96.3,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,28,0.2008,855,"[25.84375, 22.75, 37.09375]","[20.796875, 5.9765625, 18.421875]",21474,[-12.9453125],[-17.109375],-63.47,-98.56,correct,True,-190.4,-98.56,incorrect,False,-59.94,-98.56,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,29,0.2532,777,"[27.25, 21.6875, 37.125]","[7.90234375, 8.0703125, 8.7578125]",21346,[-15.0],[-8.75],-67.06,-104.94,correct,True,-201.2,-104.94,incorrect,False,-62.8,-104.94,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,30,0.182,779,"[26.4375, 21.6875, 37.0625]","[19.734375, 8.109375, 15.1640625]",20970,[-15.234375],[-23.265625],-66.56,-105.4,correct,True,-199.8,-105.4,incorrect,False,-63.9,-105.4,correct,True
