task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,7.951355,16373,"[0.545578122138977, 4.128880977630615, 2.3757131099700928]","[4.510345935821533, 4.143342971801758, 2.154569149017334]",23206,[0.021003976464271545],[1.7240638732910156],-9.901818,-12.228153,correct,True,-29.705454,-12.228153,incorrect,False,-11.703578,-12.228153,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,8.002449,7575,"[1.2509329319000244, 4.479952335357666, 2.6558923721313477]","[-0.41981083154678345, 4.835361480712891, 4.692286491394043]",17177,[0.3134685456752777],[2.282014846801758],-9.315267,-11.758259,correct,True,-27.9458,-11.758259,incorrect,False,-10.820795,-11.758259,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,8.041556,8371,"[1.084829330444336, 5.014085292816162, 4.1481828689575195]","[-1.8581370115280151, 2.250113010406494, 4.882307052612305]",11538,[0.7458373308181763],[-3.0404767990112305],-8.707074,-11.264545,correct,True,-26.121223,-11.264545,incorrect,False,-10.925552,-11.264545,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,8.695829,14114,"[0.5600760579109192, 5.646265029907227, 5.343287944793701]","[2.9626059532165527, 1.346006155014038, 8.548016548156738]",21587,[-0.050837572664022446],[-0.30490660667419434],-8.27559,-11.982937,correct,True,-24.82677,-11.982937,incorrect,False,-11.372023,-11.982937,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,8.832957,6806,"[1.3166381120681763, 5.428303241729736, 7.264521598815918]","[3.390180826187134, 0.29155629873275757, 2.787168025970459]",21958,[-0.12729412317276],[-1.834914207458496],-7.329389,-11.963274,correct,True,-21.988167,-11.963274,incorrect,False,-10.5193405,-11.963274,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,8.780686,2387,"[2.132988929748535, 5.018032550811768, 7.273164749145508]","[0.898997962474823, 1.0210912227630615, 8.67536735534668]",27361,[-0.6293855905532837],[-2.509819984436035],-7.074557,-12.392514,correct,True,-21.223671,-12.392514,incorrect,False,-9.630138,-12.392514,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,9.327244,2066,"[2.2180888652801514, 5.0600714683532715, 8.912261962890625]","[3.5845682621002197, 0.22473113238811493, 3.2082269191741943]",37863,[-1.2942155599594116],[-0.4802660048007965],-6.4280953,-12.968349,correct,True,-19.284286,-12.968349,incorrect,False,-9.456045,-12.968349,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,9.479406,573,"[3.029494285583496, 4.588644027709961, 8.806615829467773]","[2.182955741882324, 1.3051918745040894, 4.944759845733643]",36814,[-1.3073986768722534],[1.114219069480896],-6.250754,-12.861173,correct,True,-18.752262,-12.861173,incorrect,False,-8.524281,-12.861173,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,9.6573515,277,"[3.360074996948242, 4.49931526184082, 9.23182201385498]","[0.35405784845352173, 2.028083562850952, 5.600715160369873]",32763,[-0.9111466407775879],[0.5128539800643921],-5.9944224,-12.403641,correct,True,-17.983267,-12.403641,incorrect,False,-8.13242,-12.403641,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,9.556118,390,"[3.3257534503936768, 4.697388172149658, 9.713390350341797]","[-1.620162844657898, -0.011224180459976196, 5.155267715454102]",31350,[-0.77103590965271],[-0.25596439838409424],-5.8209205,-12.395603,correct,True,-17.46276,-12.395603,incorrect,False,-8.298814,-12.395603,correct,True
