task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,1.227,19644,"[2.408203125, 11.8515625, 6.4921875]","[5.69921875, 5.7890625, 29.296875]",24564,[1.3984375],[0.6416015625],-15.43,-20.47,correct,True,-46.3,-20.47,incorrect,False,-19.45,-20.47,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,2.273,15125,"[2.8359375, 10.7265625, 13.890625]","[-1.0751953125, 8.515625, 18.3125]",23234,[1.251953125],[7.78125],-10.68,-18.25,correct,True,-32.03,-18.25,incorrect,False,-16.66,-18.25,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,3.332,16304,"[2.345703125, 10.5703125, 15.5]","[13.3515625, 4.2265625, 5.82421875]",18040,[2.00390625],[0.48046875],-9.4,-16.25,correct,True,-28.19,-16.25,incorrect,False,-15.91,-16.25,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,3.514,8916,"[3.701171875, 10.0703125, 14.3203125]","[6.1796875, 3.90625, 5.05859375]",18416,[1.765625],[2.650390625],-8.56,-16.02,correct,True,-25.69,-16.02,incorrect,False,-14.086,-16.02,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,4.695,7346,"[4.07421875, 9.5234375, 13.21875]","[9.4921875, 5.34765625, 10.6796875]",18445,[1.8515625],[6.16015625],-7.957,-15.086,correct,True,-23.88,-15.086,incorrect,False,-12.86,-15.086,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,6.566,4621,"[5.28515625, 8.9453125, 13.0390625]","[5.05078125, -5.0859375, -10.328125]",16744,[2.77734375],[10.1796875],-6.85,-13.49,correct,True,-20.56,-13.49,incorrect,False,-10.984,-13.49,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,7.766,1404,"[6.390625, 7.234375, 13.5390625]","[-0.08795166015625, 10.59375, 8.03125]",15839,[2.791015625],[4.70703125],-6.2,-12.74,correct,True,-18.6,-12.74,incorrect,False,-9.14,-12.74,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,7.855,5671,"[4.80078125, 7.75390625, 13.03125]","[7.46484375, 6.24609375, 3.916015625]",13530,[3.2265625],[-0.135986328125],-6.5,-12.34,correct,True,-19.5,-12.34,incorrect,False,-10.766,-12.34,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,7.96,4250,"[5.32421875, 7.59765625, 12.0546875]","[11.8671875, 9.078125, 15.9765625]",19134,[2.537109375],[1.267578125],-6.406,-13.09,correct,True,-19.22,-13.09,incorrect,False,-10.305,-13.09,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,7.582,1899,"[6.57421875, 7.79296875, 12.390625]","[9.0625, 4.25390625, 0.93310546875]",21749,[2.25390625],[6.10546875],-6.08,-13.89,correct,True,-18.23,-13.89,incorrect,False,-9.57,-13.89,correct,True
