task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,0.29982302,48446,"[-11.370328903198242, 14.08995532989502, 11.425877571105957]","[0.879448413848877, -7.656928062438965, 11.15771484375]",40239,[-5.468544960021973],[2.0982275009155273],-29.634333,-37.100643,correct,True,-88.903,-37.100643,incorrect,False,-43.002426,-37.100643,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,1.4021136,47375,"[-8.614889144897461, 9.461481094360352, 12.824544906616211]","[-5.09569787979126, -2.1587045192718506, 18.480432510375977]",36789,[-3.7693536281585693],[-2.555481195449829],-22.480438,-27.87113,correct,True,-67.441315,-27.87113,incorrect,False,-32.716667,-27.87113,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,1.9694452,47353,"[-7.742791175842285, 6.903637886047363, 15.807315826416016]","[-8.992170333862305, 5.530857563018799, 6.474981307983398]",35495,[-3.5180881023406982],[-0.512978196144104],-15.699211,-22.740637,correct,True,-47.097633,-22.740637,incorrect,False,-26.965342,-22.740637,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,2.4716673,45088,"[-8.451193809509277, 6.812444686889648, 14.032155990600586]","[-2.50789475440979, -4.18143892288208, 1.0899099111557007]",21892,[-2.504340648651123],[-1.8953564167022705],-13.318611,-18.289846,correct,True,-39.955833,-18.289846,incorrect,False,-24.236698,-18.289846,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,4.380405,37200,"[-6.328308582305908, 3.503796339035034, 11.28543472290039]","[-7.002529621124268, 6.251762390136719, 3.676276206970215]",20100,[-2.3430371284484863],[2.9435830116271973],-9.980066,-15.576674,correct,True,-29.940199,-15.576674,incorrect,False,-19.561947,-15.576674,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,2.2171986,29937,"[-6.679235458374023, 4.098046779632568, 10.217413902282715]","[8.484542846679688, -6.126051902770996, -13.165790557861328]",8358,[-0.9668864011764526],[-2.25710391998291],-9.318858,-14.547511,correct,True,-27.956575,-14.547511,incorrect,False,-20.25986,-14.547511,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,3.2038722,18603,"[-5.0657639503479, 5.082424640655518, 9.270150184631348]","[1.6435235738754272, 20.287925720214844, -0.8660904765129089]",12628,[-3.433915138244629],[-0.30571550130844116],-8.862391,-16.230373,correct,True,-26.587173,-16.230373,incorrect,False,-17.862223,-16.230373,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,4.3823524,14526,"[-3.284404993057251, 7.416878700256348, 8.368788719177246]","[7.507190227508545, -5.766961574554443, -13.974771499633789]",11996,[-2.646275043487549],[11.09770679473877],-7.088123,-15.415096,correct,True,-21.264368,-15.415096,incorrect,False,-16.053225,-15.415096,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,3.4948149,1818,"[-0.7360159158706665, 6.454490661621094, 6.932647705078125]","[-8.696876525878906, -7.7970194816589355, 3.431675910949707]",936,[0.5811348557472229],[0.3221614956855774],-6.538585,-12.770124,correct,True,-19.615755,-12.770124,incorrect,False,-14.0872755,-12.770124,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,2.9922357,974,"[-2.8456344604492188, 4.831292152404785, 6.7108988761901855]","[4.2240309715271, 11.213630676269531, 18.876956939697266]",181,[0.49627235531806946],[-0.4058302640914917],-5.241861,-9.157671,correct,True,-15.725583,-9.157671,incorrect,False,-12.499577,-9.157671,incorrect,False
