task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,9.61407,39621,"[-1.1992841958999634, 1.9122376441955566, 1.5583359003067017]","[5.569163799285889, 2.3307504653930664, 1.6507169008255005]",29142,[-0.49225449562072754],[1.223386287689209],-10.793881,-11.816724,correct,True,-32.381645,-11.816724,incorrect,False,-12.523754,-11.816724,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,9.720331,25262,"[-0.20074079930782318, 2.1841213703155518, 1.8826199769973755]","[-2.5489437580108643, 0.5933620929718018, 2.9289796352386475]",26275,[-0.2568768560886383],[1.1707662343978882],-10.3717575,-11.614872,correct,True,-31.115273,-11.614872,incorrect,False,-11.558736,-11.614872,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,9.725506,33289,"[-0.7122577428817749, 1.9838920831680298, 2.814126491546631]","[4.9128217697143555, 4.1359968185424805, 1.4641448259353638]",20258,[0.03558416664600372],[-0.17714142799377441],-10.32422,-11.284685,correct,True,-30.972658,-11.284685,incorrect,False,-12.032526,-11.284685,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,9.720871,10338,"[0.4674760103225708, 2.8487730026245117, 3.161789655685425]","[0.745517909526825, 4.870678901672363, 5.625019550323486]",16682,[0.003793952986598015],[0.8320486545562744],-9.639065,-11.130557,correct,True,-28.917194,-11.130557,incorrect,False,-10.666875,-11.130557,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,9.682831,10795,"[0.6130016446113586, 3.878675699234009, 4.995048522949219]","[2.1525607109069824, -0.03879999369382858, 5.956662654876709]",16027,[0.2390873283147812],[-1.9821351766586304],-8.526624,-11.096195,correct,True,-25.57987,-11.096195,incorrect,False,-10.7222805,-11.096195,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,9.600962,3344,"[1.1354409456253052, 3.3989717960357666, 6.161900520324707]","[-0.05001944303512573, -1.7993382215499878, 4.181792736053467]",17066,[-0.3224635124206543],[-1.3480851650238037],-7.870276,-11.271599,correct,True,-23.610828,-11.271599,incorrect,False,-9.813695,-11.271599,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,9.809916,6124,"[1.0023071765899658, 2.9274520874023438, 6.808175563812256]","[3.273533582687378, -1.7669817209243774, 3.2486679553985596]",28488,[-0.7124972343444824],[-1.4557589292526245],-7.856069,-11.928719,correct,True,-23.568207,-11.928719,incorrect,False,-10.213914,-11.928719,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,9.695736,986,"[2.1138057708740234, 2.1622300148010254, 6.9608988761901855]","[2.498434543609619, 6.646326065063477, 4.9410834312438965]",30949,[-1.1957945823669434],[-0.7687358856201172],-7.4631157,-12.251826,correct,True,-22.389347,-12.251826,incorrect,False,-8.942226,-12.251826,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,8.986691,277,"[2.9098284244537354, 3.870556592941284, 7.668241024017334]","[-1.068729281425476, 2.0024752616882324, 4.727820873260498]",24980,[-1.412886619567871],[-0.3303089439868927],-6.3159804,-12.266459,correct,True,-18.94794,-12.266459,incorrect,False,-7.9437447,-12.266459,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,8.718245,768,"[2.1587131023406982, 4.113353729248047, 8.269280433654785]","[2.0402891635894775, 0.4837628901004791, 8.093751907348633]",25122,[-1.3449780941009521],[-1.77631676197052],-6.336502,-12.295805,correct,True,-19.009506,-12.295805,incorrect,False,-8.792114,-12.295805,correct,True
