task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,8.517587,8618,"[0.7906427383422852, 8.264399528503418, 2.8749890327453613]","[1.7128454446792603, 2.509317398071289, 2.608079195022583]",29041,[-1.2804540395736694],[1.8000409603118896],-8.550782,-13.052498,correct,True,-25.652346,-13.052498,incorrect,False,-10.981401,-13.052498,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,7.7676525,5993,"[1.1853324174880981, 7.5966033935546875, 4.010390758514404]","[2.3839266300201416, 5.230439186096191, 6.806415557861328]",20911,[-0.5915479063987732],[-0.9360446333885193],-8.254974,-12.540613,correct,True,-24.764923,-12.540613,incorrect,False,-10.763733,-12.540613,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,7.250189,2825,"[1.6359351873397827, 7.755275249481201, 7.961777210235596]","[0.5322654247283936, 5.543392181396484, 6.667409420013428]",19025,[-0.7292643785476685],[-0.6990946531295776],-6.5958595,-12.466322,correct,True,-19.787579,-12.466322,incorrect,False,-10.101123,-12.466322,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,5.275881,2807,"[1.7320244312286377, 9.34361457824707, 10.702507019042969]","[1.5335830450057983, 9.033495903015137, 5.939571380615234]",18871,[-0.8879659175872803],[3.5645034313201904],-5.36198,-13.358961,correct,True,-16.08594,-13.358961,incorrect,False,-10.738971,-13.358961,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,6.2475114,2411,"[2.0780529975891113, 11.51745319366455, 12.293261528015137]","[0.5840920209884644, 1.004107117652893, 2.5060133934020996]",10146,[0.38030269742012024],[-1.0055004358291626],-4.1397586,-11.912481,correct,True,-12.419275,-11.912481,incorrect,False,-10.214731,-11.912481,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,5.9495525,2641,"[1.972327709197998, 11.579388618469238, 11.952322959899902]","[-1.8480316400527954, -1.6759473085403442, 3.3820645809173584]",12764,[-0.02070930041372776],[-1.0078071355819702],-4.182552,-12.454687,correct,True,-12.547656,-12.454687,incorrect,False,-10.46165,-12.454687,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,4.7060804,7004,"[1.0576857328414917, 10.691195487976074, 12.13216781616211]","[4.159847736358643, 1.5603229999542236, 3.667872667312622]",17574,[-0.365152508020401],[1.3541611433029175],-4.7026243,-13.2905245,correct,True,-14.107873,-13.2905245,incorrect,False,-11.867686,-13.2905245,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,5.437776,1814,"[2.4671411514282227, 10.192322731018066, 12.381625175476074]","[2.711421251296997, -0.12261813133955002, 2.5063891410827637]",11960,[0.2508459687232971],[-2.519162654876709],-4.271935,-12.435388,correct,True,-12.815805,-12.435388,incorrect,False,-10.219092,-12.435388,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,3.4594808,498,"[3.575103759765625, 9.960626602172852, 12.298977851867676]","[1.7998813390731812, -5.627634525299072, -3.3759031295776367]",16110,[-0.702552318572998],[-1.460134744644165],-4.280097,-14.202138,correct,True,-12.840291,-14.202138,correct,True,-9.924481,-14.202138,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,4.9002366,284,"[4.132863998413086, 8.26175308227539, 11.4033203125]","[0.444642037153244, -2.626204490661621, -0.07164561003446579]",19981,[-1.2035032510757446],[1.319408893585205],-4.571819,-13.926043,correct,True,-13.715457,-13.926043,correct,True,-8.589675,-13.926043,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",10,4.2638216,315,"[4.025296211242676, 7.56902551651001, 11.334728240966797]","[1.0296956300735474, -0.10611704736948013, 1.7571197748184204]",9141,[-0.5205554962158203],[-0.9393486976623535],-4.9788027,-13.527889,correct,True,-14.936408,-13.527889,incorrect,False,-8.982038,-13.527889,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",11,3.9131258,277,"[4.0626139640808105, 6.888830661773682, 11.608470916748047]","[-1.3511229753494263, 9.126985549926758, 4.160083293914795]",9819,[-0.7641481757164001],[-0.9914531111717224],-5.016222,-13.726376,correct,True,-15.048666,-13.726376,incorrect,False,-8.899614,-13.726376,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",12,4.397836,467,"[3.134037733078003, 8.913520812988281, 12.139087677001953]","[4.0635223388671875, 1.4551118612289429, 4.861306667327881]",10435,[-0.9690250754356384],[4.207197189331055],-4.479386,-13.56378,correct,True,-13.438157,-13.56378,correct,True,-9.460718,-13.56378,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",13,3.6840193,254,"[3.9917261600494385, 8.201896667480469, 12.711210250854492]","[5.8893141746521, 5.092425346374512, 6.937845230102539]",3182,[0.564842939376831],[4.870054721832275],-4.2699122,-12.453606,correct,True,-12.809736,-12.453606,incorrect,False,-9.026723,-12.453606,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",14,3.0804145,118,"[5.2199387550354, 8.512084007263184, 13.853642463684082]","[8.487706184387207, 2.1930882930755615, 4.213953495025635]",1020,[2.1150753498077393],[9.747353553771973],-3.7637436,-11.441732,correct,True,-11.291231,-11.441732,correct,True,-8.336868,-11.441732,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",15,4.015053,28,"[6.925506114959717, 8.593103408813477, 14.197693824768066]","[13.579071044921875, 4.530036926269531, 2.6683948040008545]",145,[4.614291667938232],[0.9868348836898804],-2.8858955,-8.082887,correct,True,-8.657686,-8.082887,incorrect,False,-5.7716727,-8.082887,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",16,4.5795627,8,"[8.91837215423584, 8.710563659667969, 13.707165718078613]","[8.201130867004395, 3.632972002029419, 6.03477144241333]",173,[4.156312465667725],[21.217641830444336],-2.0004616,-8.184484,correct,True,-6.0013847,-8.184484,correct,True,-3.422424,-8.184484,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",17,4.371058,6,"[9.639823913574219, 8.98143482208252, 14.387094497680664]","[7.365477561950684, -1.9473024606704712, 1.2626644372940063]",12,[7.934243202209473],[0.8203351497650146],-1.9002796,-4.7226863,correct,True,-5.700839,-4.7226863,incorrect,False,-3.0171056,-4.7226863,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",18,4.6616197,4,"[9.781766891479492, 7.773613452911377, 13.606610298156738]","[3.881664752960205, 3.9939329624176025, 2.4586241245269775]",28,[6.980759143829346],[2.341217279434204],-2.1532679,-5.3801947,correct,True,-6.4598036,-5.3801947,incorrect,False,-2.579187,-5.3801947,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",19,4.7217646,5,"[9.235783576965332, 7.573692798614502, 12.376256942749023]","[9.365872383117676, 1.3718180656433105, -3.4129796028137207]",34,[6.532537937164307],[-2.4125661849975586],-2.3862271,-5.756532,correct,True,-7.1586814,-5.756532,incorrect,False,-3.0532866,-5.756532,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",20,4.289513,3,"[10.040960311889648, 7.738486289978027, 11.616155624389648]","[-0.6454812288284302, 4.629053592681885, 0.5250332355499268]",52,[6.010112762451172],[3.2347798347473145],-2.390049,-6.483517,correct,True,-7.170147,-6.483517,incorrect,False,-2.4526696,-6.483517,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",21,4.5957885,4,"[9.61130142211914, 8.349852561950684, 11.489082336425781]","[8.243608474731445, 9.182267189025879, 5.55491304397583]",50,[6.252016067504883],[-1.820590615272522],-2.058246,-6.1726227,correct,True,-6.1747375,-6.1726227,incorrect,False,-2.8133373,-6.1726227,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",22,4.973398,1,"[10.617551803588867, 11.671897888183594, 12.947994232177734]","[1.191103219985962, 2.7555551528930664, 5.591390609741211]",67,[5.925851345062256],[5.084153652191162],-0.8885479,-6.50269,correct,True,-2.6656437,-6.50269,correct,True,-1.8109894,-6.50269,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",23,4.215307,1,"[14.463772773742676, 22.28783416748047, 21.982006072998047]",,5,[12.440296173095703],,-0.46381888,-3.4111943,correct,True,-1.3914566,-3.4111943,correct,True,-1.3877176,-3.4111943,correct,True
