task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,7.3970366,14742,[1.7604953050613403],[0.7443362474441528],44352,"[-2.4695897102355957, 8.74620246887207]","[-0.6127055883407593, -3.2117111682891846]",-12.826251,-10.80337,incorrect,False,-12.826251,-21.60674,correct,True,-12.826251,-17.056335,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,7.2626367,11526,[2.5448250770568848],[-2.137819528579712],46580,"[-2.9135594367980957, 6.499908447265625]","[-2.4768564701080322, -0.829296350479126]",-12.483297,-12.272202,incorrect,False,-12.483297,-24.544403,correct,True,-12.483297,-17.941683,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,6.724993,21484,[1.2219561338424683],[0.986382246017456],48015,"[-3.460163116455078, 5.623812198638916]","[0.9910098314285278, 4.618172645568848]",-14.147736,-13.077883,incorrect,False,-14.147736,-26.155766,correct,True,-14.147736,-18.829855,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,6.834908,18378,[1.6027636528015137],[-0.36606884002685547],45916,"[-2.6212587356567383, 6.4127020835876465]","[2.6842188835144043, -0.040401577949523926]",-13.803101,-12.362259,incorrect,False,-13.803101,-24.724518,correct,True,-13.803101,-18.027122,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,6.3778586,17804,[1.41989266872406],[0.4734674096107483],36012,"[-0.9445915818214417, 6.387951374053955]","[0.5829828977584839, 1.3004230260849]",-13.832638,-11.289688,incorrect,False,-13.832638,-22.579376,correct,True,-13.832638,-16.197123,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,7.0202556,12237,[1.7688817977905273],[3.8319051265716553],27658,"[-0.3383142948150635, 7.329240798950195]","[1.136080265045166, 3.02124285697937]",-12.746479,-10.3153715,incorrect,False,-12.746479,-20.630743,correct,True,-12.746479,-14.853674,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,3.4281332,7329,[3.500584840774536],[-1.6158647537231445],27380,"[0.45195817947387695, 8.230895042419434]","[2.394514560699463, 3.3841891288757324]",-12.913319,-10.311777,incorrect,False,-12.913319,-20.623554,correct,True,-12.913319,-15.961948,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,4.3043923,10519,[2.7287726402282715],[-3.119941234588623],16595,"[1.7644175291061401, 9.497198104858398]","[-4.514214515686035, 1.5423455238342285]",-13.248259,-8.788616,incorrect,False,-13.248259,-17.577232,correct,True,-13.248259,-14.212614,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,3.4065938,16458,[1.4046549797058105],[-0.07702839374542236],27582,"[-0.02204890549182892, 10.109305381774902]","[3.0258567333221436, -2.972893714904785]",-14.232855,-9.52755,incorrect,False,-14.232855,-19.0551,correct,True,-14.232855,-15.659564,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,2.5163934,21708,[1.4091525077819824],[-0.35335099697113037],21192,"[1.4768545627593994, 9.396016120910645]","[1.2991087436676025, 0.8755719661712646]",-15.507499,-9.761181,incorrect,False,-15.507499,-19.522362,correct,True,-15.507499,-15.439803,incorrect,False
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,10,6.984153,19918,[1.2248010635375977],[2.021224021911621],13211,"[2.1301064491271973, 9.768457412719727]","[-6.185410499572754, -6.548732757568359]",-13.604275,-8.366743,incorrect,False,-13.604275,-16.733486,correct,True,-13.604275,-12.698971,incorrect,False
