task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,9.243231,18311,[-0.19436432421207428],[0.6712740659713745],23676,"[-0.6608873605728149, 13.331860542297363]","[0.9871142506599426, 3.706601619720459]",-11.739162,-6.323035,incorrect,False,-11.739162,-12.64607,correct,True,-11.739162,-12.205685,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,9.053638,18271,[0.1322159320116043],[-0.8980077505111694],19782,"[-0.004817613400518894, 12.540321350097656]","[-2.3451619148254395, 2.6621944904327393]",-11.910791,-6.314636,incorrect,False,-11.910791,-12.629272,correct,True,-11.910791,-12.047825,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,8.764822,20532,[-0.23921017348766327],[-1.2871800661087036],26699,"[-0.8300483226776123, 12.076101303100586]","[-5.2236008644104, -0.7258438467979431]",-12.334975,-6.7854595,incorrect,False,-12.334975,-13.570919,correct,True,-12.334975,-12.925814,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,8.384154,23087,[-0.7264201641082764],[-3.587841510772705],40647,"[-2.73018741607666, 11.540821075439453]","[-0.6472908854484558, 3.833828926086426]",-12.83161,-7.8789253,incorrect,False,-12.83161,-15.757851,correct,True,-12.83161,-14.835377,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,8.270406,37050,[-2.206991672515869],[-0.07741465419530869],40440,"[-2.6923208236694336, 12.032743453979492]","[-2.0577754974365234, -0.22358527779579163]",-14.532403,-7.8326974,incorrect,False,-14.532403,-15.665395,correct,True,-14.532403,-15.017733,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,8.439907,34790,[-2.0272057056427],[3.103273630142212],43008,"[-3.215285539627075, 11.498509407043457]","[-2.8637166023254395, 3.5821993350982666]",-14.177769,-8.116886,incorrect,False,-14.177769,-16.233772,correct,True,-14.177769,-15.365849,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,8.211655,19010,[-0.7273553013801575],[0.9747020602226257],45457,"[-4.225387096405029, 12.266521453857422]","[-0.3393864035606384, 4.522636413574219]",-12.700458,-8.390403,incorrect,False,-12.700458,-16.780806,correct,True,-12.700458,-16.19849,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,8.070384,16905,[-0.23739635944366455],[1.8810737133026123],44650,"[-3.7448010444641113, 12.774064064025879]","[-1.2627860307693481, -4.138121604919434]",-12.346759,-8.166495,incorrect,False,-12.346759,-16.33299,correct,True,-12.346759,-15.854164,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,7.701766,9289,[0.46101364493370056],[2.1999635696411133],43567,"[-3.9329469203948975, 11.377092361450195]","[0.43525969982147217, 0.3093988299369812]",-11.535481,-8.625399,incorrect,False,-11.535481,-17.250797,correct,True,-11.535481,-15.929442,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,7.9120445,5037,[1.2559150457382202],[1.1432392597198486],41892,"[-3.639742136001587, 11.794358253479004]","[-1.2008371353149414, -0.6248323917388916]",-10.65128,-8.318714,incorrect,False,-10.65128,-16.637428,correct,True,-10.65128,-15.546938,correct,True
