task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,8.003294,15999,"[0.5830140709877014, 4.103306293487549, 2.532681465148926]","[4.986166954040527, 4.049673080444336, 1.5579884052276611]",24641,[-0.07298220694065094],[2.5273244380950928],-9.811769,-12.316889,correct,True,-29.435305,-12.316889,incorrect,False,-11.6608925,-12.316889,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,8.199782,6852,"[1.338492751121521, 4.428378582000732, 2.6296842098236084]","[-1.1537342071533203, 2.3686468601226807, 5.229314804077148]",16645,[0.33745917677879333],[3.2536728382110596],-9.273238,-11.6891575,correct,True,-27.819714,-11.6891575,incorrect,False,-10.688124,-11.6891575,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,8.312047,9115,"[1.0345127582550049, 4.4240875244140625, 4.3372392654418945]","[-0.9880467653274536, 4.505823135375977, 5.632464408874512]",9900,[0.9491930603981018],[-3.0145347118377686],-8.852222,-11.036036,correct,True,-26.556667,-11.036036,incorrect,False,-10.950716,-11.036036,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,8.943778,12081,"[0.6858519911766052, 5.290465831756592, 5.665984630584717]","[2.5703885555267334, 0.5771721005439758, 10.116838455200195]",18300,[0.11869040131568909],[-0.33648398518562317],-8.165256,-11.703026,correct,True,-24.495766,-11.703026,incorrect,False,-11.135864,-11.703026,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,9.193237,6098,"[1.328413486480713, 4.886768341064453, 8.092599868774414]","[2.0009663105010986, 2.2291016578674316, 6.6221208572387695]",18534,[0.020051613450050354],[-2.3869717121124268],-7.1625214,-11.664093,correct,True,-21.487564,-11.664093,incorrect,False,-10.355732,-11.664093,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,9.189156,3646,"[1.774600863456726, 4.973644733428955, 9.00519847869873]","[1.5348390340805054, 0.09508085250854492, 10.105132102966309]",28776,[-0.7039998769760132],[-1.694301724433899],-6.6064186,-12.392017,correct,True,-19.819256,-12.392017,incorrect,False,-9.913417,-12.392017,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,9.376159,2405,"[2.060560464859009, 4.703258037567139, 10.97630500793457]","[0.8817511796951294, -0.3977588713169098, 4.004981517791748]",35198,[-1.1713967323303223],[-1.1633143424987793],-5.9620757,-12.796054,correct,True,-17.886227,-12.796054,incorrect,False,-9.564097,-12.796054,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,9.60667,2223,"[2.06835675239563, 3.983041524887085, 10.797374725341797]","[2.299590587615967, 4.137226581573486, 8.988909721374512]",38887,[-1.394705891609192],[0.32917967438697815],-6.1522746,-12.944179,correct,True,-18.456823,-12.944179,incorrect,False,-9.481115,-12.944179,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,9.771802,1103,"[2.4841580390930176, 4.5719895362854, 11.83885669708252]","[3.892036199569702, 2.432098865509033, 5.438833236694336]",38269,[-1.1176906824111938],[-2.2782583236694336],-5.5771794,-12.667984,correct,True,-16.731539,-12.667984,incorrect,False,-9.066135,-12.667984,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,9.478227,356,"[3.286953926086426, 4.849762439727783, 12.200692176818848]","[-1.027015209197998, 0.0847870409488678, 5.062225341796875]",41912,[-1.6226216554641724],[0.8200964331626892],-5.169818,-13.222845,correct,True,-15.509454,-13.222845,incorrect,False,-8.313269,-13.222845,correct,True
