task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,5.188,7755,[7.91796875],[7.5234375],31679,"[2.5078125, 21.578125]","[-0.88427734375, 0.95849609375]",-13.15,-9.64,incorrect,False,-13.15,-19.28,correct,True,-13.15,-18.56,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,6.957,5267,[7.890625],[10.453125],33679,"[1.6337890625, 18.203125]","[2.005859375, 6.40234375]",-11.26,-9.055,incorrect,False,-11.26,-18.11,correct,True,-11.26,-17.52,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,7.395,3155,[8.3203125],[7.3828125],33075,"[1.5830078125, 16.609375]","[0.720703125, 3.51953125]",-10.234,-8.94,incorrect,False,-10.234,-17.88,correct,True,-10.234,-16.97,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,6.977,1889,[8.171875],[5.7421875],30361,"[1.2666015625, 15.640625]","[1.6357421875, 3.90625]",-9.73,-8.89,incorrect,False,-9.73,-17.78,correct,True,-9.73,-16.62,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,7.0,2142,[7.703125],[6.7109375],29045,"[1.212890625, 14.6328125]","[10.140625, 4.36328125]",-9.836,-8.98,incorrect,False,-9.836,-17.95,correct,True,-9.836,-16.33,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,7.336,2733,[7.4921875],[3.82421875],20987,"[3.265625, 13.390625]","[15.4296875, -11.8203125]",-9.984,-8.17,incorrect,False,-9.984,-16.34,correct,True,-9.984,-14.21,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,8.14,2898,[7.53515625],[6.984375],17178,"[4.37109375, 12.1328125]","[3.33203125, 5.0546875]",-9.766,-7.977,incorrect,False,-9.766,-15.95,correct,True,-9.766,-12.93,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,7.656,1955,[7.4375],[12.2734375],15432,"[4.10546875, 11.21875]","[12.609375, 11.125]",-9.54,-8.17,incorrect,False,-9.54,-16.34,correct,True,-9.54,-12.87,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,7.98,547,[8.3671875],[8.875],6333,"[5.640625, 11.296875]","[9.78125, -0.0460205078125]",-8.16,-6.965,incorrect,False,-8.16,-13.93,correct,True,-8.16,-10.88,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,7.32,541,[8.4765625],[15.9296875],3827,"[6.234375, 10.5]","[4.87109375, 10.5]",-8.22,-7.266,incorrect,False,-8.22,-14.53,correct,True,-8.22,-10.46,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,10,7.43,189,[9.8203125],[0.477294921875],5699,"[5.9609375, 10.5625]","[1.470703125, -0.232177734375]",-7.203,-7.51,correct,True,-7.203,-15.02,correct,True,-7.203,-11.06,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,11,7.477,526,[8.7421875],[3.666015625],6954,"[5.3828125, 10.234375]","[12.1328125, -6.89453125]",-8.125,-7.87,incorrect,False,-8.125,-15.74,correct,True,-8.125,-11.484,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,12,7.082,410,[9.765625],[8.1484375],6696,"[6.04296875, 10.203125]","[9.53125, 14.8984375]",-7.91,-7.996,correct,True,-7.91,-15.99,correct,True,-7.91,-11.63,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,13,7.285,313,[9.546875],[10.6640625],4099,"[6.57421875, 10.3984375]","[12.40625, 6.59375]",-7.69,-7.36,incorrect,False,-7.69,-14.72,correct,True,-7.69,-10.664,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,14,7.418,357,[9.7109375],[13.4140625],3239,"[7.16796875, 10.2578125]","[10.171875, -7.5625]",-7.76,-7.242,incorrect,False,-7.76,-14.484,correct,True,-7.76,-10.305,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,15,6.87,265,[10.1328125],[15.1171875],2462,"[7.46875, 9.9453125]","[5.1640625, 4.30078125]",-7.51,-7.227,incorrect,False,-7.51,-14.45,correct,True,-7.51,-10.18,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,16,7.27,79,[10.96875],[28.140625],3121,"[7.09375, 9.6484375]","[17.9375, 5.37890625]",-6.414,-7.324,correct,True,-6.414,-14.65,correct,True,-6.414,-10.29,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,17,6.008,16,[13.6171875],[2.830078125],1401,"[8.6875, 9.6953125]","[14.0625, -5.86328125]",-4.902,-7.176,correct,True,-4.902,-14.35,correct,True,-4.902,-9.836,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,18,2.611,4,[17.5625],[30.171875],67,"[13.3046875, 10.109375]","[12.1875, 11.3984375]",-3.32,-5.72,correct,True,-3.32,-11.44,correct,True,-3.32,-7.58,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,19,2.58,1,[20.125],[26.609375],71,"[13.3203125, 10.390625]","[7.6796875, -4.421875]",-1.2295,-5.82,correct,True,-1.2295,-11.64,correct,True,-1.2295,-8.03,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,20,1.179,1,[22.09375],[20.328125],107,"[12.5625, 10.171875]","[23.203125, 23.53125]",-0.2742,-6.594,correct,True,-0.2742,-13.19,correct,True,-0.2742,-9.805,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,21,1.533,1,[22.75],[-31.59375],66,"[14.0859375, 11.578125]","[-18.578125, 10.2890625]",-0.4236,-5.49,correct,True,-0.4236,-10.98,correct,True,-0.4236,-9.086,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,22,3.21,1,[18.109375],[-50.96875],175,"[11.0, 11.984375]","[-42.6875, -28.59375]",-1.562,-4.758,correct,True,-1.562,-9.516,correct,True,-1.562,-8.67,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,23,4.24,1,[6.6484375],,119,"[0.89501953125, -3.08984375]",,-1.614,-3.736,correct,True,-1.614,-7.473,correct,True,-1.614,-7.367,correct,True
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,0,5.363,12236,"[6.7734375, 15.3671875]","[6.95703125, 7.078125]",5186,[8.7578125],[11.890625],-9.78,-12.23,correct,True,-19.56,-12.23,incorrect,False,-14.21,-12.23,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,1,7.05,9396,"[6.79296875, 14.09375]","[8.5234375, 7.4375]",1753,[9.515625],[12.875],-8.18,-9.6,correct,True,-16.36,-9.6,incorrect,False,-12.33,-9.6,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,2,7.47,7165,"[7.0546875, 13.1875]","[3.45703125, 9.1484375]",743,[10.1171875],[6.71484375],-7.746,-8.46,correct,True,-15.49,-8.46,incorrect,False,-11.52,-8.46,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,3,7.035,6892,"[6.3125, 12.9140625]","[5.23828125, 4.19140625]",651,[9.5078125],[10.6640625],-7.664,-8.45,correct,True,-15.33,-8.45,incorrect,False,-11.65,-8.45,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,4,6.68,6874,"[6.0546875, 12.296875]","[10.2890625, 7.51953125]",351,[9.8359375],[8.4453125],-7.83,-7.91,correct,True,-15.66,-7.91,incorrect,False,-11.69,-7.91,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,5,7.03,4154,"[7.02734375, 11.671875]","[8.3828125, -11.0078125]",458,[9.5625],[2.685546875],-7.32,-8.07,correct,True,-14.64,-8.07,incorrect,False,-10.61,-8.07,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,6,8.195,4339,"[7.203125, 10.6015625]","[2.021484375, 9.8125]",232,[9.953125],[3.6328125],-7.562,-7.49,incorrect,False,-15.125,-7.49,incorrect,False,-10.24,-7.49,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,7,7.867,6032,"[6.11328125, 10.53125]","[9.1015625, 7.43359375]",637,[8.6640625],[9.96875],-7.688,-8.29,correct,True,-15.375,-8.29,incorrect,False,-10.84,-8.29,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,8,8.25,3016,"[6.66015625, 10.1796875]","[9.8671875, 8.2734375]",241,[8.9453125],[9.1328125],-7.1,-7.508,correct,True,-14.2,-7.508,incorrect,False,-9.8,-7.508,incorrect,False
