task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,1.5921901,13844,"[405.75439453125, 437.6974182128906, 420.1617431640625]","[382.7521057128906, 455.5542907714844, 420.19293212890625]",16660,[403.91571044921875],[383.009765625],-27.385437,-38.272564,correct,True,-82.15631,-38.272564,incorrect,False,-36.43388,-38.272564,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,2.338259,8006,"[395.6510009765625, 462.99981689453125, 439.54180908203125]","[432.2335205078125, 400.013427734375, 407.48052978515625]",9086,[394.9268798828125],[450.84698486328125],-25.46044,-26.97131,correct,True,-76.38132,-26.97131,incorrect,False,-26.247189,-26.97131,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,1.7409412,13993,"[423.63385009765625, 447.4044189453125, 436.543212890625]","[461.4150390625, 418.595703125, 390.6831359863281]",707,[437.88824462890625],[461.83795166015625],-25.433268,-17.928923,incorrect,False,-76.299805,-17.928923,incorrect,False,-32.18332,-17.928923,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,0.86569285,9853,"[470.38909912109375, 465.9344482421875, 440.57574462890625]","[507.59222412109375, 476.745361328125, 414.39459228515625]",241,[485.9006652832031],[508.9407043457031],-20.893473,-14.9107,incorrect,False,-62.68042,-14.9107,incorrect,False,-30.422266,-14.9107,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,1.4825709,2755,"[531.82177734375, 533.3334350585938, 439.9067077636719]","[1063.0653076171875, 1055.92041015625, 1022.6016845703125]",47,[545.1055908203125],[1064.010986328125],-14.374433,-9.381175,incorrect,False,-43.1233,-9.381175,incorrect,False,-22.664988,-9.381175,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,6.052487,1735,"[1069.79736328125, 1052.9434814453125, 1037.166015625]",,65,[1073.6171875],,-3.5178435,-6.266253,correct,True,-10.553531,-6.266253,incorrect,False,-10.086077,-6.266253,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,0,1.9839728,22883,"[399.82806396484375, 443.5792236328125]","[379.1053466796875, 390.05682373046875]",31346,"[394.78656005859375, 412.8642883300781, 411.0895690917969]","[388.0037841796875, 398.0384521484375, 425.54473876953125]",-25.831818,-27.422323,correct,True,-51.663635,-82.26697,correct,True,-40.32045,-45.361954,correct,True
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,1,2.4128196,15581,"[389.8646240234375, 434.656982421875]","[434.10223388671875, 410.17041015625]",12847,"[391.23504638671875, 411.4443054199219, 434.64208984375]","[435.84320068359375, 421.33184814453125, 405.5566711425781]",-19.129658,-18.121138,incorrect,False,-38.259315,-54.36341,correct,True,-30.16497,-28.794548,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,2,0.05523501,6696,"[421.89532470703125, 435.4632873535156]","[450.71533203125, 422.71807861328125]",4385,"[423.945068359375, 424.10980224609375, 432.82879638671875]","[457.9805603027344, 454.66290283203125, 411.46710205078125]",-20.223228,-14.736672,incorrect,False,-40.446457,-44.21002,correct,True,-30.05513,-28.005386,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,3,1.2046591,6125,"[462.23358154296875, 459.4852600097656]","[519.0966796875, 433.2452392578125]",1141,"[469.0033264160156, 456.31597900390625, 452.6502685546875]","[521.6829833984375, 493.6015625, 456.9151611328125]",-20.289265,-11.875862,incorrect,False,-40.57853,-35.627586,incorrect,False,-27.205603,-20.435858,incorrect,False
