item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,9.550225,6858,[0.6638578176498413],[0.43061691522598267],11559,[0.1314907968044281],[-1.2385097742080688],-10.362338,-10.894705,correct,True,-10.362338,-10.894705,correct,True,-10.362338,-10.894705,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,9.601731,6026,[0.7282278537750244],[3.413515090942383],14040,[-0.13559547066688538],[1.3010181188583374],-10.22562,-11.089443,correct,True,-10.22562,-11.089443,correct,True,-10.22562,-11.089443,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,9.438184,2515,[1.5497263669967651],[0.1384100317955017],10904,[0.27649474143981934],[0.1582733392715454],-9.585804,-10.8590355,correct,True,-9.585804,-10.8590355,correct,True,-9.585804,-10.8590355,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,8.644839,3006,[1.7576287984848022],[-2.3862292766571045],9439,[0.5528285503387451],[-1.590443730354309],-9.856657,-11.061457,correct,True,-9.856657,-11.061457,correct,True,-9.856657,-11.061457,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,8.415265,8526,[0.5161575078964233],[1.2452572584152222],13840,[-0.08496956527233124],[1.1218793392181396],-11.006937,-11.608065,correct,True,-11.006937,-11.608065,correct,True,-11.006937,-11.608065,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,9.074312,7605,[0.8361672163009644],[2.4061076641082764],11424,[0.36962583661079407],[2.1004269123077393],-10.657967,-11.124508,correct,True,-10.657967,-11.124508,correct,True,-10.657967,-11.124508,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,8.676027,4107,[1.6270018815994263],[3.1451351642608643],6171,[1.2115912437438965],[2.311936140060425],-10.129237,-10.544647,correct,True,-10.129237,-10.544647,correct,True,-10.129237,-10.544647,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,8.819799,1227,[2.6141719818115234],[3.706815242767334],2343,[2.0752274990081787],[4.5791425704956055],-9.100032,-9.638976,correct,True,-9.100032,-9.638976,correct,True,-9.100032,-9.638976,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,8.54931,336,[3.761272430419922],[7.138688564300537],366,[3.706956624984741],[2.711785316467285],-8.114921,-8.169236,correct,True,-8.114921,-8.169236,correct,True,-8.114921,-8.169236,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,7.528674,17,[6.126197814941406],[4.837678909301758],108,[4.521597862243652],[1.3082716464996338],-5.4324784,-7.0370784,correct,True,-5.4324784,-7.0370784,correct,True,-5.4324784,-7.0370784,correct,True,gender
