task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,0.0,202,"[30.5625, 70.125, 68.0]","[-37.21875, -29.609375, -11.2734375]",6857,[15.4765625],[34.90625],-143.4,-80.2,incorrect,False,-430.0,-80.2,incorrect,False,-65.1,-80.2,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,0.0001881,19344,"[25.78125, 33.46875, 57.0625]","[-7.0, -35.8125, -4.6953125]",38147,[21.03125],[-9.4140625],-110.3,-52.78,incorrect,False,-331.0,-52.78,incorrect,False,-48.03,-52.78,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,2e-06,13328,"[24.234375, 29.21875, 49.0625]","[-14.7109375, -17.234375, -14.1171875]",34754,[19.265625],[-11.8046875],-101.75,-50.2,incorrect,False,-305.2,-50.2,incorrect,False,-45.2,-50.2,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,0.0,10172,"[21.5, 23.75, 37.46875]","[-5.15234375, -22.53125, -4.69140625]",29843,[17.09375],[0.038177490234375],-93.0,-48.53,incorrect,False,-279.0,-48.53,incorrect,False,-44.12,-48.53,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,0.0,3175,"[19.484375, 20.515625, 33.09375]","[-7.70703125, -3.296875, -3.43359375]",12742,[15.96875],[-5.1640625],-87.7,-48.78,incorrect,False,-263.0,-48.78,incorrect,False,-45.25,-48.78,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,1e-06,3746,"[18.609375, 18.15625, 28.890625]","[-17.84375, -13.9453125, 14.6328125]",13744,[15.3359375],[-11.0390625],-82.44,-48.2,incorrect,False,-247.2,-48.2,incorrect,False,-44.94,-48.2,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,1.1e-06,4581,"[15.5234375, 15.7109375, 31.28125]","[7.63671875, -13.40625, -1.9208984375]",11542,[13.234375],[-4.09375],-73.56,-45.94,incorrect,False,-220.8,-45.94,incorrect,False,-43.66,-45.94,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,2e-06,2432,"[15.8125, 14.125, 28.609375]","[9.078125, -32.375, -23.546875]",10644,[12.59375],[-7.171875],-67.8,-45.97,incorrect,False,-203.5,-45.97,incorrect,False,-42.75,-45.97,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,2e-06,928,"[16.265625, 10.1796875, 24.046875]","[7.4921875, -11.59375, -7.60546875]",9392,[11.4609375],[-9.046875],-63.84,-44.72,incorrect,False,-191.5,-44.72,incorrect,False,-39.94,-44.72,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,3e-06,336,"[16.265625, 7.8359375, 20.609375]","[-3.642578125, -32.21875, -12.453125]",7047,[10.2265625],[-13.515625],-58.34,-44.25,incorrect,False,-175.0,-44.25,incorrect,False,-38.2,-44.25,correct,True
