item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,9.268753,35781,[-1.772805094718933],[-2.497525930404663],13520,[0.290027916431427],[-2.007157325744629],-13.358016,-11.295183,incorrect,False,-13.358016,-11.295183,incorrect,False,-13.358016,-11.295183,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,9.069341,42815,[-2.553748369216919],[-0.8110969662666321],21729,[-0.31797948479652405],[-0.7079489231109619],-14.37339,-12.137621,incorrect,False,-14.37339,-12.137621,incorrect,False,-14.37339,-12.137621,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,8.976965,41330,[-2.468721628189087],[3.4143130779266357],22183,[-0.4726903438568115],[0.3551262617111206],-14.2308445,-12.234814,incorrect,False,-14.2308445,-12.234814,incorrect,False,-14.2308445,-12.234814,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,8.3166,30394,[-1.5190824270248413],[-1.883033037185669],18025,[-0.31645524501800537],[-2.9790196418762207],-13.440948,-12.23832,incorrect,False,-13.440948,-12.23832,incorrect,False,-13.440948,-12.23832,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,8.068038,34158,[-2.11161208152771],[2.1098546981811523],26031,[-1.2264078855514526],[1.1854277849197388],-14.133507,-13.248302,incorrect,False,-14.133507,-13.248302,incorrect,False,-14.133507,-13.248302,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,8.088527,25896,[-1.2231802940368652],[2.8204381465911865],20134,[-0.6418043375015259],[-0.3713430166244507],-13.268501,-12.687125,incorrect,False,-13.268501,-12.687125,incorrect,False,-13.268501,-12.687125,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,7.949336,15753,[-0.24787537753582],[1.6846213340759277],19893,[-0.7133032083511353],[0.36350905895233154],-12.251047,-12.7164755,correct,True,-12.251047,-12.7164755,correct,True,-12.251047,-12.7164755,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,8.4360695,13050,[0.29148542881011963],[1.8447149991989136],20084,[-0.47715994715690613],[2.5370168685913086],-11.653765,-12.42241,correct,True,-11.653765,-12.42241,correct,True,-11.653765,-12.42241,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,7.291538,7038,[0.8130704164505005],[5.506242275238037],9414,[0.4115711450576782],[2.7538678646087646],-11.202191,-11.60369,correct,True,-11.202191,-11.60369,correct,True,-11.202191,-11.60369,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,6.799555,1210,[2.6388394832611084],[2.3672845363616943],3634,[1.4213062524795532],[-0.3202272355556488],-9.390078,-10.607611,correct,True,-9.390078,-10.607611,correct,True,-9.390078,-10.607611,correct,True,gender
