task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,3.8259358,22250,"[2.255723714828491, 6.911844253540039, 1.5496934652328491]","[-0.25078198313713074, 1.301873803138733, -3.5424704551696777]",33279,[0.9931730031967163],[-2.039422035217285],-13.476211,-16.127544,correct,True,-40.42863,-16.127544,incorrect,False,-14.864992,-16.127544,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,4.8382835,18927,"[2.2168140411376953, 6.649916648864746, -0.32280153036117554]","[-2.9956889152526855, 0.7142146825790405, 3.8360178470611572]",34819,[0.46321403980255127],[1.8549295663833618],-13.36544,-15.540197,correct,True,-40.09632,-15.540197,incorrect,False,-13.786598,-15.540197,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,5.895199,26031,"[1.365824818611145, 6.217763900756836, 2.215001344680786]","[-0.6550450921058655, -0.5372000932693481, 1.7437573671340942]",29804,[0.9820812940597534],[0.47558361291885376],-12.280778,-14.167609,correct,True,-36.842335,-14.167609,incorrect,False,-13.783863,-14.167609,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,6.798489,29895,"[0.9557766914367676, 5.34780740737915, 2.8977444171905518]","[-0.2875034511089325, 1.0810807943344116, 2.987374782562256]",29472,[0.9954814910888672],[-2.2737479209899902],-11.690433,-13.750132,correct,True,-35.071297,-13.750132,incorrect,False,-13.789837,-13.750132,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,7.754121,28188,"[0.8334503769874573, 5.760200023651123, 3.9484992027282715]","[-2.3756284713745117, 0.17941848933696747, 3.804147243499756]",33344,[0.3227362334728241],[-0.5812250375747681],-10.68344,-13.787521,correct,True,-32.05032,-13.787521,incorrect,False,-13.276808,-13.787521,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,8.73669,33412,"[-0.01855560392141342, 5.281172752380371, 4.791075706481934]","[-1.4051166772842407, 1.911482334136963, 6.33859920501709]",31657,[0.1491832733154297],[1.2411108016967773],-10.291268,-13.162657,correct,True,-30.873806,-13.162657,incorrect,False,-13.330396,-13.162657,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,8.879841,37165,"[-0.5212825536727905, 5.599941253662109, 6.179891586303711]","[-0.303478479385376, -0.3401660919189453, 0.4951207935810089]",25331,[0.5946972370147705],[0.37153300642967224],-9.725368,-12.544727,correct,True,-29.176102,-12.544727,incorrect,False,-13.660707,-12.544727,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,8.773174,34750,"[-0.5980746746063232, 5.115664958953857, 6.034399509429932]","[-2.1294517517089844, 0.18281851708889008, 3.009308099746704]",20276,[0.6884337067604065],[-2.9106340408325195],-9.857541,-12.085159,correct,True,-29.572624,-12.085159,incorrect,False,-13.371668,-12.085159,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,8.804834,39964,"[-1.2845826148986816, 5.032474040985107, 6.486250400543213]","[0.18586678802967072, 1.374396800994873, 0.6367682814598083]",30064,[-0.2836802899837494],[-2.287147045135498],-9.78612,-12.953557,correct,True,-29.35836,-12.953557,incorrect,False,-13.954459,-12.953557,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,8.39752,41842,"[-1.163640022277832, 5.157634258270264, 6.432397365570068]","[0.15431825816631317, 1.3974428176879883, 1.8133515119552612]",39504,[-0.8749212622642517],[0.37832069396972656],-9.821122,-13.97842,correct,True,-29.463367,-13.97842,incorrect,False,-14.267139,-13.97842,incorrect,False
