task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,2.0105925,36864,"[229.04592895507812, 257.7942199707031, 249.91903686523438]","[265.47222900390625, 246.9396209716797, 270.70013427734375]",11791,[240.18386840820312],[260.2080383300781],-30.274294,-26.131355,incorrect,False,-90.82288,-26.131355,incorrect,False,-37.269295,-26.131355,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,2.029308,30506,"[237.2454833984375, 252.36172485351562, 260.1960754394531]","[243.2537078857422, 288.1623229980469, 246.1925506591797]",14308,[244.3093719482422],[268.1527404785156],-30.454248,-28.612461,incorrect,False,-91.36275,-28.612461,incorrect,False,-35.67635,-28.612461,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,1.2678355,44722,"[233.25234985351562, 268.3364562988281, 251.06280517578125]","[274.3649597167969, 218.6190948486328, 237.60629272460938]",8110,[251.25047302246094],[271.9612731933594],-29.334023,-27.006334,incorrect,False,-88.00207,-27.006334,incorrect,False,-45.004456,-27.006334,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,1.0846769,37610,"[243.77883911132812, 245.3544464111328, 236.0735321044922]","[223.8186492919922, 238.6457977294922, 247.24710083007812]",8702,[259.28350830078125],[213.9590606689453],-33.86497,-29.245546,incorrect,False,-101.59491,-29.245546,incorrect,False,-44.750214,-29.245546,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,0.12400755,38527,"[226.2998046875, 237.2003631591797, 233.26315307617188]","[227.09774780273438, 285.75933837890625, 300.8664855957031]",19092,[236.57830810546875],[218.41665649414062],-33.04453,-39.86165,correct,True,-99.13358,-39.86165,incorrect,False,-50.140152,-39.86165,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,0.7747175,29707,"[213.51327514648438, 256.3404846191406, 266.5283508300781]","[307.5298156738281, 282.9709167480469, 276.9000244140625]",20622,[217.2264404296875],[305.7423095703125],-20.313736,-37.462482,correct,True,-60.941208,-37.462482,incorrect,False,-41.175648,-37.462482,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,0.13771355,22404,"[234.85560607910156, 266.4248352050781, 278.9911804199219]","[246.45172119140625, 222.8809356689453, 245.2935028076172]",15383,[238.05130004882812],[244.26625061035156],-17.447771,-35.325626,correct,True,-52.343315,-35.325626,incorrect,False,-38.52132,-35.325626,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,1.6195595,17140,"[233.8919677734375, 247.69090270996094, 269.00616455078125]","[239.1230010986328, 301.0025634765625, 275.9399108886719]",13138,[235.72836303710938],[252.49293518066406],-16.85341,-30.545681,correct,True,-50.560234,-30.545681,incorrect,False,-32.382076,-30.545681,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,1.7893662,4418,"[223.99392700195312, 270.0845031738281, 280.7427978515625]","[332.1618347167969, 271.15185546875, 239.84823608398438]",290,[235.29641723632812],[332.70751953125],-12.740098,-17.504213,correct,True,-38.220295,-17.504213,incorrect,False,-28.806704,-17.504213,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,0.33711588,1228,"[271.94903564453125, 277.1102294921875, 268.3917236328125]","[365.073974609375, 370.99932861328125, 360.1236877441406]",125,[282.2530822753906],[353.8665466308594],-12.954488,-18.234182,correct,True,-38.863464,-18.234182,incorrect,False,-28.538229,-18.234182,incorrect,False
