response_correct,syllogism_condition,rt,syllogism_name,subject,is_valid,answer_with_valid,is_realistic,is_consistent,is_nonsense,unique_id,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
True,nonsense,35.699013,nonsense_sland_spluff_gusp,Human,True,True,False,False,True,nonsense_sland_spluff_gusp^nonsense^valid,1.2996422,2.49212495,1.0,0.09545454545454546,-0.24998031,-5.2053522,2.18057719,3.5805113000000004,75.8054542675,10.0,0.0,0.0,0.041666666666666664,10.596354188041502,13.0,96.62259997515,10.5,77.20018487485,0.0,12.0,30.058954919737396,0.0,15.0
False,violate,197.794977,flowers_animals_reptiles,Human,True,False,True,False,False,flowers_animals_reptiles^violate^valid,1.2277656000000001,2.5020716,1.0,0.1,-0.310432445,-4.8912941,1.5356069049999999,2.8611921000000002,76.4548357345,10.0,0.0,0.0,0.041666666666666664,10.652990946183202,13.0,94.96516968575,10.5,58.172969364249994,0.0,12.0,23.205368976579287,0.0,8.0
False,nonsense,53.098138,nonsense_nept_bript_jeft,Human,False,True,False,False,True,nonsense_nept_bript_jeft^nonsense^invalid,1.22703345,2.54558945,0.5,0.006269654088050315,-2.49419215,-8.768876500000001,-2.2588481099999997,-3.4341860000000004,75.7140284995,10.0,3.775485001,3.775485001,1.0,4.136120708472463,15.5,168.12087135000002,13.0,0.0,70.47346670144998,20.0,5.761720163815848e-15,24.255882716048593,12.0
False,consistent,30.560626,gems_diamonds_transparent,Human,True,False,True,True,False,gems_diamonds_transparent^consistent^valid,1.1422484499999999,2.3561125,1.0,0.10555555555555556,-0.23659455499999998,-4.94811835,2.0648030950000003,3.1782403500000003,75.9013530865,10.0,0.0,0.0,0.041666666666666664,10.617339326779486,13.0,95.09597146870001,13.0,66.9708883813,0.0,12.0,27.598752082082633,5.693242940241976,15.0
True,nonsense,47.365121,nonsense_sland_spluff_gusp,Human,True,True,False,False,True,nonsense_sland_spluff_gusp^nonsense^valid,1.2996422,2.49212495,1.0,0.09545454545454546,-0.24998031,-5.2053522,2.18057719,3.5805113000000004,75.8054542675,10.0,0.0,0.0,0.041666666666666664,10.596354188041502,13.0,96.62259997515,10.5,77.20018487485,0.0,12.0,30.058954919737396,0.0,15.0
True,consistent,14.132236,gems_diamonds_transparent,Human,False,False,True,True,False,gems_diamonds_transparent^consistent^invalid,1.1659742,2.3090373499999997,0.5,0.009925314465408805,-2.3036280500000004,-8.15778075,-2.06354609,-3.1780256000000002,75.972044779,10.0,3.702506054,3.702506054,1.0,4.413031503736933,15.0,162.2511252,13.0,0.0,66.6498166387,20.0,5.235602230597394,28.079016083360045,4.0
False,nonsense,19.298922,nonsense_nept_bript_jeft,Human,False,True,False,False,True,nonsense_nept_bript_jeft^nonsense^invalid,1.22703345,2.54558945,0.5,0.006269654088050315,-2.49419215,-8.768876500000001,-2.2588481099999997,-3.4341860000000004,75.7140284995,10.0,3.775485001,3.775485001,1.0,4.136120708472463,15.5,168.12087135000002,13.0,0.0,70.47346670144998,20.0,5.761720163815848e-15,24.255882716048593,12.0
True,nonsense,13.966516,nonsense_gick_criff_riff,Human,False,False,False,False,True,nonsense_gick_criff_riff^nonsense^invalid,1.1994215499999998,2.45339345,0.5,0.0063092110500756315,-2.1865059000000002,-8.8691295,-1.936004545,-3.37712075,76.12904860149999,10.0,4.334763914750001,4.334763914750001,1.0,4.00525788179173,16.0,171.86105085,13.0,0.0,71.87811160955,20.0,5.735523438677292e-15,27.207669873169802,12.0
True,violate,35.59383,flowers_animals_reptiles,Human,True,True,True,False,False,flowers_animals_reptiles^violate^valid,1.2277656000000001,2.5020716,1.0,0.1,-0.310432445,-4.8912941,1.5356069049999999,2.8611921000000002,76.4548357345,10.0,0.0,0.0,0.041666666666666664,10.652990946183202,13.0,94.96516968575,10.5,58.172969364249994,0.0,12.0,23.205368976579287,0.0,8.0
True,nonsense,71.632158,nonsense_paft_usp_cesk,Human,True,True,False,False,True,nonsense_paft_usp_cesk^nonsense^valid,1.00950135,2.49735975,1.0,0.06274509803921569,-0.18124937000000002,-5.5059462,2.39276693,3.4270283,75.49477024149999,10.0,0.0,0.0,0.041666666666666664,10.490975887662309,13.0,98.18096618779998,13.0,72.59212546220002,0.0,12.0,24.226635584874035,0.0,11.5
