rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,display_correct_first,task_type,trial_type,trial_index,time_elapsed,subject_id,study_id,session_id,rng_seed,response_correct,response_position,rt_zscore,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
3519,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,11,287997,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,left,-0.802189861519109,0.006167202,0.04370492,0.41666666666666663,8.47178346166494e-06,-8.212865,-38.732191,4.310674499999999,5.501192499999998,6.8208001884375795,26.0,0.004362499999999159,0.0,0.07142857142857142,0.6269539970336084,40.0,2283.9412245,0.0,272.927956,0.004362499999999159,36.0,131.71367063889338,118.3318111837104,36.0
2289,j,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,13,291289,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0465433403721245,0.1160289535,0.046598604,0.41666666666666663,1.269481045856544e-05,-5.119931,-35.450143,6.2308635,8.675873499999998,9.161775415935356,26.0,2.350855000000003,0.0,0.14285714285714285,0.7405274040952907,40.0,2092.131501,0.0,334.5840655,2.926732500000007,5.0,94.44136937358485,71.3227869148221,38.5
3544,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,True,critical,html-keyboard-response,15,295837,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.7972233273960803,0.0425592225,0.07910885000000001,1.0,4.140173808364993e-06,-0.0072910015,-51.904906999999994,14.356959998499999,-13.0716015,6.093064574797921,26.0,20.387103500000002,20.387103500000002,0.9761904761904762,1.3521540152218532,40.0,2564.2451965015,0.0,34.32218049849999,422.0078065,19.5,148.94579923696662,112.75416466566288,39.0
2088,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,True,critical,html-keyboard-response,17,298928,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.086474274721276,0.0486440785,0.028764479000000003,0.5,5.90480939436333e-06,-5.0567893,-43.039009,9.1830422,-0.9350780000000007,7.158906809740444,26.0,9.281307000000002,7.312368499999998,0.8333333333333333,0.5861220750344158,40.0,2399.3494727999996,0.0,37.30941969999999,115.38863949999998,18.0,103.82108961078094,56.82687300491422,38.5
2077,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,False,critical,html-keyboard-response,19,302009,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0886595497354086,0.264193185,0.035951121,1.0,7.657692355153879e-06,-0.08802430150000001,-40.8044635,14.6381986985,-11.015097500000001,7.4872089557850625,26.0,17.6573055,17.6573055,0.9047619047619047,1.5247537233138686,40.0,2165.0441493014996,0.0,41.48092519849999,292.728426,0.0,192.71084039288615,97.76902002167651,34.0
4616,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,False,critical,html-keyboard-response,21,307627,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.5842583442006065,1.93551855e-05,0.0407123265,1.0,9.95791372545854e-06,-1.2516963999999999e-06,-39.223496499999996,20.6811292483036,0.45490049999999727,6.863268422459472,26.0,12.61225000000001,6.0850425,0.8571428571428571,2.62697460647171,39.0,1969.5722406791965,0.0,134.3576208208036,76.18320100000003,4.0,173.98496096532315,97.3267949512458,36.0
3127,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,True,critical,html-keyboard-response,23,311757,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-0.8800651165682002,0.00099091469,0.06161406800000001,0.5,2.7066299099258413e-05,-9.638581,-31.735041000000002,2.776737,14.202799,7.302102026611535,25.5,13.352625500000002,0.0,0.16666666666666666,0.9358046786608162,39.5,2141.887555,0.0,451.67853549999995,50.243847,4.0,154.22434385891398,116.04480032544586,36.5
3226,j,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,True,critical,html-keyboard-response,25,315986,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.8603976414410062,0.0063927848,0.045447567499999994,0.5,5.023791742531868e-06,-7.4513475,-45.9743415,3.1677815000000002,-8.076407499999998,6.327593311466242,25.5,11.326812000000002,11.326812000000002,0.9880952380952381,0.6551795863584245,40.0,2361.801745,0.0,49.618170000000006,179.28636900000004,0.0,108.25033036991354,78.53377880770216,0.0
2929,j,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,False,critical,html-keyboard-response,27,319918,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.919400066822588,0.5374084,0.040315859,0.5,4.532216065598196e-06,-1.40726775,-47.616082500000005,9.07107225,-8.183053500000003,7.266084024289812,26.0,12.5494245,12.5494245,0.9761904761904762,0.7562693498238291,39.5,2442.7482927499996,0.0,68.71130124999999,232.851166,0.0,147.3963643336674,96.32683821102665,36.5
1827,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,True,critical,html-keyboard-response,29,322747,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.1383248909656962,0.091804517,0.05238395999999999,0.5,7.337085141342909e-06,-4.77391825,-40.0801,5.8751411000000004,0.8319650000000003,6.9939523583855205,26.0,4.957802500000003,4.957802500000003,0.8571428571428572,0.7850753915202733,39.5,2244.40425925,0.0,73.80856859999997,38.44438049999998,36.5,116.78598914514404,121.98627498247748,34.0
